Chip2PinSM,Package Specifications,,,,,,,,,,,,,,,,Footprint Specifications,,,,,,,,,,
FootprintName,FootprintDescription,Lmin,Lmax,Wmin,Wmax,Tmin,Tmax,Amin,Amax,PackageType,PolarityPin,DensityLevel,JTmin,JHmin,JSmin,DrawingNote,Z,G,X,Y,C,A,B,R1,R2,V1,V2
THJP0603AST1,,1.4224,1.6764,0.7112,0.9652,0.254,0.508,0.635,0.889,I,,N,,,,,,,,,,,,,,,
THJP0612AST1,,1.4732,1.7272,3.0734,3.3274,0.254,0.508,0.635,0.889,I,,N,,,,,,,,,,,,,,,
THJP0805AST1,,1.8796,2.1336,1.0922,1.3462,0.381,0.635,0.635,0.889,I,,N,,,,,,,,,,,,,,,
THJP1206AST1,,3.0734,3.3274,1.4732,1.7272,0.381,0.635,0.635,0.889,I,,N,,,,,,,,,,,,,,,
THJP1225AST1,,3.0734,3.3274,6.2738,6.5278,0.381,0.635,0.635,0.889,I,,N,,,,,,,,,,,,,,,
THJP2512AST1,,6.2738,6.5278,3.0734,3.3274,0.381,0.635,0.635,0.889,I,,N,,,,,,,,,,,,,,,
